Section,Component,Type,Technology,Location,Description,Status,Notes,Dependencies,Data_Flow
ENVIRONMENT_VARS,JWT_ACCESS_EXPIRY,JWT Expiry,Authentication,Frontend .env.local,Access token lifetime,Optional,Default: 15m,Auth Service,Token Config
ENVIRONMENT_VARS,JWT_REFRESH_EXPIRY,JWT Expiry,Authentication,Frontend .env.local,Refresh token lifetime,Optional,Default: 7d,Auth Service,Token Config
ENVIRONMENT_VARS,ENCRYPTION_KEY,AES Encryption,Security,Backend .env,32-character key for API key encryption,Required,Exactly 32 characters,Encryption Util,Encrypt/Decrypt
ENVIRONMENT_VARS,SERIAL_PORT,USB Serial,Hardware,Dongle .env,ESP32 receiver serial port,Optional,Default: /dev/ttyUSB0,Serial Port,Dongle → ESP32
ENVIRONMENT_VARS,FRONTEND_URL,CORS,Security,Backend .env,Allowed frontend origin,Required,Default: http://localhost:3000,CORS,Backend → Frontend
ENVIRONMENT_VARS,NEXT_PUBLIC_API_URL,Backend API,Next.js Public,Frontend .env.local,Backend API base URL for client-side requests,Required,Default: http://localhost:3001 - NEXT_PUBLIC_ prefix makes it available in browser,Backend API,Frontend → Backend
ENVIRONMENT_VARS,NEXT_PUBLIC_APP_URL,Application URL,Next.js Public,Frontend .env.local,Frontend application base URL for redirects,Required,Default: http://localhost:3000,None,Redirects and CORS
ENVIRONMENT_VARS,NODE_ENV,Environment Mode,Node.js,Frontend .env.local,Current environment mode,Required,development | production | test,None,Build and Runtime
ENVIRONMENT_VARS,COOKIE_SECURE,Cookie Security,Authentication,Frontend .env.local,Enable secure flag for cookies (HTTPS only),Required,false in dev true in production,Auth Cookies,Cookie Config
ENVIRONMENT_VARS,COOKIE_DOMAIN,Cookie Domain,Authentication,Frontend .env.local,Domain for cookie scope,Required,localhost in dev yourdomain.com in prod,Auth Cookies,Cookie Config

SUCCESS_CRITERIA,Database Migration,Setup,Validation,Prisma Studio,19 new fields visible in Device model,Verifiable,Open Prisma Studio check Device model,Migration,Migration → Verify
SUCCESS_CRITERIA,Organization Assignment,Setup,Database Check,User table,All users have organizationId not null,Verifiable,Prisma Studio User model check organizationId,Fix Script,Script → Verify
SUCCESS_CRITERIA,Docker Services Running,Infrastructure,Process Check,docker-compose ps,All 5 services show Up status,Verifiable,Run docker-compose ps,Docker,Start → Verify
SUCCESS_CRITERIA,Backend API Health,Infrastructure,HTTP Check,GET /health,Returns success:true with timestamp,Verifiable,curl http://localhost:3001/health,Backend,Start → Verify
SUCCESS_CRITERIA,JWT Token with Org,Authentication,Token Decode,JWT payload,Token includes organizationId field,Verifiable,Decode token at jwt.io,Login,Login → Verify
SUCCESS_CRITERIA,Pairing Endpoint Works,API,HTTP Check,POST /api/devices/pair/start,Returns sessionId and status:waiting,Verifiable,curl with Bearer token,Backend + Auth,Auth → Verify
SUCCESS_CRITERIA,Test Dongle Creates Device,Integration,Database Check,Device table,Device created with 19 populated fields,Verifiable,Prisma Studio + curl test-dongle,Full Stack,API → Verify
SUCCESS_CRITERIA,Frontend Modal Opens,UI,Visual Check,GPS modal in setup page,Modal displays Waiting for GPS signal with loader animation,Verifiable,Click Use GPS button in Step 2 of device setup,Frontend Complete,User Click → Modal Display
SUCCESS_CRITERIA,GPS Data Displays,UI,Visual Check,GPS data section in modal,Coordinates 33.888630 35.495480 visible with green theme,Verifiable,After triggering test dongle endpoint,Frontend + Backend,API → State Update → Render
SUCCESS_CRITERIA,IMU Data Displays,UI,Visual Check,IMU section in modal,Accelerometer Gyroscope Temperature visible in purple-themed card,Verifiable,Appears with GPS data after pairing,Frontend Complete,Pairing Status → Render
SUCCESS_CRITERIA,No Console Errors,Frontend,Browser Check,DevTools Console,No cyclic object value error when API fails,Verifiable,F12 Console tab - test with invalid token,getErrorMessage Fix,Error → Safe Log → No Crash
SUCCESS_CRITERIA,Data Flow Complete,Integration,Multi-point Check,All systems,API → Redis → Backend → DB → Frontend,Verifiable,Monitor all 5 points simultaneously,Full Stack,E2E → Verify

TESTING_SCENARIOS,Test 1 Login,E2E Test,Manual,Browser + API,User can login and get JWT with organizationId,Ready,Step-by-step in LOCAL_TESTING_INSTRUCTIONS.md,Auth System,Login → Verify Token
TESTING_SCENARIOS,Test 2 GPS Modal Open,E2E Test,Manual,Browser,Use GPS button opens modal without errors,Ready,Click button check console for no cyclic errors,Frontend + Backend,Button → Modal
TESTING_SCENARIOS,Test 3 Dongle Trigger,E2E Test,Manual,Terminal + Browser,Test dongle endpoint updates modal with data,Ready,curl command then check modal updates,Full Stack,API → Display
TESTING_SCENARIOS,Test 4 Database Verify,E2E Test,Manual,Prisma Studio,All 19 fields populated in latest device,Ready,Open Prisma Studio check Device,Database,Create → Verify
TESTING_SCENARIOS,Test 5 Data Flow Monitor,E2E Test,Manual,3 Terminals,Watch Redis Backend Database simultaneously,Ready,SUBSCRIBE + logs + Prisma refresh,Integration,Monitor Flow
TESTING_SCENARIOS,Test 6 Error Handling,E2E Test,Manual,Browser,403 error handled gracefully no cyclic error,Ready,Remove organizationId test error display,Error Handling,Error → Graceful
TESTING_SCENARIOS,Test 7 Repeated Pairing,E2E Test,Manual,Browser + Terminal,Multiple pairing sessions work correctly,Ready,Run 3 times check each,Stability,Repeat → Verify
TESTING_SCENARIOS,Playwright Test 1,Automated,Playwright MCP,AI Client,Login flow automation,Ready,TEST-PROMPTS.md Test 1,Playwright MCP,AI → Browser
TESTING_SCENARIOS,Playwright Test 4,Automated,Playwright MCP,AI Client,Complete GPS pairing flow automation,Ready,TEST-PROMPTS.md Test 4,Playwright MCP,AI → E2E
TESTING_SCENARIOS,Playwright Test 6,Automated,Playwright MCP,AI Client,Complete end-to-end automation,Ready,TEST-PROMPTS.md Test 6,Playwright MCP,AI → Full Test

DEPENDENCIES,Backend Node Modules,Dependencies,npm,airguard-backend/package.json,Express Prisma Socket.io Redis etc.,Listed,npm install to install,None,package.json → node_modules
DEPENDENCIES,Frontend Node Modules,Dependencies,npm,airguard-frontend/package.json,Next.js 15.3.3 React 19 Tailwind Framer Motion Leaflet Recharts Lucide,Listed,npm install - 41 total dependencies,None,package.json → node_modules
DEPENDENCIES,Dongle Python Packages,Dependencies,pip,dongle-service/requirements.txt,pyserial redis python-dotenv,Listed,pip install -r requirements.txt,None,requirements.txt → site-packages
DEPENDENCIES,Docker Base Images,Dependencies,Docker,Dockerfiles,postgres:15-alpine redis:7-alpine node:24-alpine python:3.11-slim,Pulled,docker-compose pull,None,Docker Hub → Local
DEPENDENCIES,Playwright Browsers,Dependencies,Playwright,playwright install,Chromium Firefox WebKit,Optional,For Playwright MCP testing,Playwright,npx playwright install

FUTURE_ENHANCEMENTS,Port Scanner Microservice,New Feature,Python/Nmap,Future microservice,Standalone service for network port scanning,Planned,Same pattern as dongle service,Redis,Port Scan → Redis → Backend
FUTURE_ENHANCEMENTS,Real ESP32 Hardware Testing,Hardware Test,Physical Devices,With actual dongle,Test with real ESP32 sender and receiver,Pending Hardware,Need physical devices,Dongle Service,Real Device → Serial
FUTURE_ENHANCEMENTS,CI/CD Pipeline,Automation,GitHub Actions,Automated testing,Run tests on every commit,Planned,Standard Playwright tests in workflow,Git,Commit → Test → Deploy
FUTURE_ENHANCEMENTS,Production Deployment,Infrastructure,Cloud Hosting,AWS/GCP/Azure etc.,Deploy to production environment,Planned,Docker Compose or Kubernetes,All Services,Deploy → Production
FUTURE_ENHANCEMENTS,Monitoring and Logging,Operations,Log Aggregation,ELK Stack or similar,Centralized logging and monitoring,Planned,Production requirement,All Services,Services → Logs → Dashboard
